"CIK","Fund","Manager","Denomination","CIKs","URL"
"0000820027","Ameriprise Financial","Jim Cracchiolo","Ameriprise Financial, Inc.","","https://www.ameriprise.com/"
"0001709323","Himalaya Capital Management","Li Lu","Himalaya Capital Management LLC","","https://www.himcap.com/"
"0001389403","Chou Associates","Francis Chou","Chou Associates Management Inc.","","https://www.choufunds.com/"
"0001453072","Alyeska Investment Group","Anand Parekh","Alyeska Investment Group, L.P.","","https://alyeskagroup.com/"
"0000850529","Fisher Asset Management","Ken Fisher","Fisher Asset Management, LLC","","https://www.fisherinvestments.com/"
"0001016287","Matrix Asset Advisors","David Katz","Matrix Asset Advisors Inc/NY","","https://matrixassetadvisors.com/"
"0000934639","Maverick Capital","Lee Ainslie","Maverick Capital, Ltd.","","https://www.maverickcap.com/"
"0001510387","Gotham Funds","Joel Greenblatt","Gotham Asset Management, LLC","","https://www.gothamfunds.com/"
"0001698218","Ritholtz Wealth Management","Barry Ritholtz","Ritholtz Wealth Management","","https://www.ritholtzwealth.com/"
"0001214822","Steadfast Capital Management","Robert Pitts","Steadfast Capital Management LP","","https://www.steadfast.com/"
"0001035674","Paulson & Co.","John Paulson","Paulson & Co. Inc.","","https://paulsonco.com/"
"0001352662","GMO","Jeremy Grantham","Grantham, Mayo, Van Otterloo & Co. LLC","","https://www.gmo.com/"
"0001318757","Marshall Wace","Paul Marshall & Ian Wace","Marshall Wace, LLP","","https://www.mwam.com/"
"0001104329","Crosslink Capital","Seymour Kaufman","Crosslink Capital, Inc.","","https://www.crosslinkcapital.com/"
"0000807249","GAMCO Investors","Mario Gabelli","GAMCO Asset Management Inc.","","https://gabelli.com/"
"0001478735","Two Sigma","John Overdeck","Two Sigma Investments, LP","","https://www.twosigma.com/"
"0001027796","Pzena Investment Management","Richard Pzena","Pzena Investment Management LLC","","https://www.pzena.com/"
"0001671657","Dorsey Asset Management","Pat Dorsey","Dorsey Asset Management, LLC","","https://dorseyasset.com/"
"0000813917","Harris Associates","Bill Nygren","Harris Associates L P","","https://harrisassoc.com/"
"0001535392","Mangrove Partners","Nathaniel August","Mangrove Partners IM, LLC","","https://mangrovepartners.com/"
"0001061165","Lone Pine Capital","Steve Mandel","Lone Pine Capital LLC","","https://www.lonepinecapital.com/"
"0001081198","Cypress Funds","Michael Wang","Cypress Funds LLC","","https://www.cypress-funds.com/"
"0001595430","Nextech Invest","Alexis Borisy","Nextech Invest, Ltd.","","https://www.nextechinvest.com/"
"0001953107","Enavate Sciences","James Boylan","Enavate Sciences GP, LLC","","https://enavatesciences.com/"
"0001727492","Caligan Partners","David Johnson","Caligan Partners LP","","https://www.caliganpartners.com/"
"0002018299","Boxer Capital Management","Aaron Davis","Boxer Capital Management, LLC","","https://www.boxercap.com/"
"0001423442","O'Shaughnessy Asset Management","James O'Shaughnessy","O'Shaughnessy Asset Management, LLC","","https://www.osam.com/"
"0001214717","Geode Capital Management","David Lane","Geode Capital Management, LLC","","https://www.geodecapital.com/"
"0001900110","DGS Capital Management","Ashish Sharma","DGS Capital Management, LLC","","https://www.dgs.capital/"
"0001115418","RhumbLine Advisers","Denise D'Entremont","RhumbLine Advisers","","https://www.rhumbline.com/"
"0001600064","Tidal Financial Group","Gavin Filmore","Tidal Investments LLC","","https://tidalfinancialgroup.com/"
"0001357955","ProShares Advisors","Michael Sapir","ProShare Advisors LLC","","https://www.proshares.com/"
