CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
687793109,OSCR,Oscar Health Inc,6343617,0,136.01M,0,NO CHANGE,57.6%
92719V100,VMEO,Vimeo Inc,5852853,0,23.65M,0,NO CHANGE,10%
03213A104,AMPL,Amplitude Inc,0,-85640,0,-872.67K,CLOSE,0%
146869102,CVNA,Carvana Co,226761,-2040849,76.41M,-687.68M,-90%,32.4%
Total,,,,,236.06M,-688.56M,-116.9%,100%
