CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
01609W102,BABA,ALIBABA GROUP HOLDING-SP ADR,25888,-208,2.94M,-23.59K,-0.8%,0.03%
747525103,QCOM,QUALCOMM INC,3869,-158,615.98K,-25.16K,-3.9%,<.01%
91912E105,VALE,VALE SA-SP ADR,192835,-3262,1.87M,-31.67K,-1.7%,0.02%
443628102,HBM,HUDBAY MINERALS INC,97273,-3030,1.03M,-32.12K,-3%,0.01%
26884L109,EQT,EQT CORP,18500,-568,1.08M,-33.12K,-3%,0.01%
878742204,TECK,TECK RESOURCES LTD-CLS B,52698,-918,2.13M,-37.09K,-1.7%,0.02%
20451W101,CMPS,COMPASS PATHWAYS PLC,216511,-13619,606.23K,-38.13K,-5.9%,<.01%
858119100,STLD,STEEL DYNAMICS INC,16719,-353,2.14M,-45.18K,-2.1%,0.02%
422806109,HEI,HEICO CORP,15948,-139,5.23M,-45.59K,-0.9%,0.05%
45337C102,INCY,INCYTE CORP,27182,-719,1.85M,-48.96K,-2.6%,0.02%
031162100,AMGN,AMGEN INC,6625,-194,1.85M,-54.14K,-2.8%,0.02%
92532F100,VRTX,VERTEX PHARMACEUTICALS INC,6527,-145,2.9M,-64.53K,-2.2%,0.03%
008474108,AEM,AGNICO EAGLE MINES LTD,26062,-550,3.1M,-65.4K,-2.1%,0.03%
767204100,RIO,RIO TINTO PLC-SPON ADR,53991,-1140,3.15M,-66.47K,-2.1%,0.03%
G54950103,LIN,LINDE PLC,6829,-142,3.2M,-66.59K,-2%,0.03%
651639106,NEM,NEWMONT CORP,70333,-1173,4.1M,-68.33K,-1.6%,0.04%
011532108,AGI,ALAMOS GOLD INC-CLASS A,126602,-2675,3.36M,-71.07K,-2.1%,0.03%
34385P108,LAB,STANDARD BIOTOOLS INC,6156102,-77591,7.33M,-92.33K,-1.2%,0.07%
53115L104,LBRT,LIBERTY ENERGY INC,39220,-8630,450.25K,-99.07K,-18%,<.01%
15872M104,CHX,CHAMPIONX CORP,13087,-4124,324.95K,-102.4K,-24%,<.01%
462222100,IONS,IONIS PHARMACEUTICALS INC,139739,-2694,5.52M,-106.39K,-1.9%,0.06%
25754A201,DPZ,DOMINO'S PIZZA INC,8178,-263,3.68M,-118.45K,-3.1%,0.04%
00091E109,ABSI,ABSCI CORP,1447484,-46381,3.71M,-118.74K,-3.1%,0.04%
64110L106,NFLX,NETFLIX INC,5165,-95,6.91M,-127.14K,-1.8%,0.07%
65443P102,MASS,908 DEVICES INC,394375,-18199,2.81M,-129.76K,-4.4%,0.03%
922475108,VEEV,VEEVA SYSTEMS INC-CLASS A,10727,-503,3.09M,-144.76K,-4.5%,0.03%
553368101,MP,MP MATERIALS CORP,21158,-4362,702.66K,-144.86K,-17.1%,<.01%
871607107,SNPS,SYNOPSYS INC,15820,-287,8.11M,-147.12K,-1.8%,0.08%
149123101,CAT,CATERPILLAR INC,11160,-380,4.33M,-147.46K,-3.3%,0.04%
H2906T109,GRMN,GARMIN LTD,41507,-709,8.66M,-147.9K,-1.7%,0.09%
N6596X109,NXPI,NXP SEMICONDUCTORS NV,31032,-790,6.78M,-172.49K,-2.5%,0.07%
157085101,CERS,CERUS CORP,6062129,-128760,8.49M,-180.26K,-2.1%,0.08%
71424F105,PR,PERMIAN RESOURCES CORP,40124,-14776,546.09K,-201.1K,-26.9%,<.01%
806857108,SLB,SCHLUMBERGER LTD,16114,-6135,544.17K,-207.18K,-27.6%,<.01%
05722G100,BKR,BAKER HUGHES CO,13488,-5424,516.73K,-207.79K,-28.7%,<.01%
447011107,HUN,HUNTSMAN CORP,42004,-21017,437.68K,-219K,-33.3%,<.01%
G87110105,FTI,TECHNIPFMC PLC,15025,-6713,517.16K,-231.06K,-30.9%,<.01%
74022D407,PDS,PRECISION DRILLING CORP,6043,-5120,285.41K,-241.82K,-45.9%,<.01%
71535D106,PSNL,PERSONALIS INC,634317,-41657,4.16M,-273.27K,-6.2%,0.04%
055622104,BP,BP PLC-SPONS ADR,66822,-9489,2M,-284.01K,-12.4%,0.02%
166764100,CVX,CHEVRON CORP,14986,-2115,2.14M,-302.68K,-12.4%,0.02%
644535106,NGD,NEW GOLD INC,131033,-64758,648.61K,-320.55K,-33.1%,<.01%
89151E109,TTE,TOTALENERGIES SE -SPON ADR,54637,-5442,3.35M,-333.98K,-9.1%,0.03%
30063P105,EXAS,EXACT SCIENCES CORP,166765,-6347,8.86M,-337.09K,-3.7%,0.09%
02079K107,GOOG,ALPHABET INC-CL C,111256,-2021,19.73M,-358.38K,-1.8%,0.2%
780259305,SHEL,SHELL PLC-ADR,76248,-5136,5.37M,-361.47K,-6.3%,0.05%
74765K105,QSI,QUANTUM-SI INC,5621303,-190127,11.02M,-372.65K,-3.3%,0.11%
406216101,HAL,HALLIBURTON CO,24327,-18521,495.3K,-377.09K,-43.2%,<.01%
703481101,PTEN,PATTERSON-UTI ENERGY INC,0,-48980,0,-402.62K,CLOSE,0%
03662Q105,ANSS,ANSYS INC,5176,-1150,1.82M,-403.56K,-18.2%,0.02%
69404D108,PACB,PACIFIC BIOSCIENCES OF CALIF,9218455,-346876,11.34M,-426.66K,-3.6%,0.11%
65290E101,NXT,NEXTRACKER INC-CL A,0,-10173,0,-428.69K,CLOSE,0%
75886F107,REGN,REGENERON PHARMACEUTICALS,23314,-850,12.23M,-445.87K,-3.5%,0.12%
G65163100,JOBY,JOBY AVIATION INC,2510089,-51887,26.46M,-546.89K,-2%,0.26%
090043100,BILL,BILL HOLDINGS INC,252748,-14017,11.69M,-648.29K,-5.3%,0.12%
98954M200,Z,ZILLOW GROUP INC - C,212505,-11832,14.88M,-828.71K,-5.3%,0.15%
539830109,LMT,LOCKHEED MARTIN CORP,10228,-1926,4.73M,-891.58K,-15.8%,0.05%
45866F104,ICE,INTERCONTINENTAL EXCHANGE IN,105557,-5120,19.36M,-939.06K,-4.6%,0.19%
25179M103,DVN,DEVON ENERGY CORP,0,-27068,0,-1.01M,CLOSE,0%
75629V104,RXRX,RECURSION PHARMACEUTICALS-A,8167745,-239589,41.25M,-1.21M,-2.8%,0.41%
03969T109,ARCT,ARCTURUS THERAPEUTICS HOLDIN,1830203,-95881,23.79M,-1.25M,-5%,0.24%
48581R205,KSPI,JSC KASPI.KZ ADR,298309,-15236,25.3M,-1.29M,-4.9%,0.25%
254687106,DIS,WALT DISNEY CO/THE,114081,-11023,14.14M,-1.37M,-8.8%,0.14%
45826J105,NTLA,INTELLIA THERAPEUTICS INC,2671265,-154096,25M,-1.44M,-5.5%,0.25%
22052L104,CTVA,CORTEVA INC,377195,-19961,28.11M,-1.49M,-5%,0.28%
M3760D101,ESLT,ELBIT SYSTEMS LTD,21540,-3348,9.66M,-1.5M,-13.5%,0.1%
067901108,B,BARRICK GOLD CORP,0,-81990,0,-1.59M,CLOSE,0%
88554D205,DDD,3D SYSTEMS CORP,0,-814994,0,-1.73M,CLOSE,0%
88339J105,TTD,TRADE DESK INC/THE -CLASS A,927016,-26662,66.72M,-1.92M,-2.8%,0.67%
81141R100,SE,SEA LTD-ADR,222851,-14439,35.66M,-2.31M,-6.1%,0.36%
13321L108,CCJ,CAMECO CORP,524890,-32848,38.95M,-2.44M,-5.9%,0.39%
23804L103,DDOG,DATADOG INC - CLASS A,168157,-18791,22.59M,-2.52M,-10.1%,0.23%
79466L302,CRM,SALESFORCE INC,94431,-9476,25.74M,-2.58M,-9.1%,0.26%
244199105,DE,DEERE & CO,160916,-5183,81.77M,-2.63M,-3.1%,0.82%
14167L103,CDNA,CAREDX INC,1235591,-141163,24.14M,-2.76M,-10.3%,0.24%
M5216V106,GLBE,GLOBAL-E ONLINE LTD,979812,-83673,32.87M,-2.81M,-7.9%,0.33%
559222401,MGA,MAGNA INTERNATIONAL INC,0,-94271,0,-3.2M,CLOSE,0%
74168J101,PRME,PRIME MEDICINE INC,1589117,-1336906,3.89M,-3.28M,-45.7%,0.04%
69553P100,PD,PAGERDUTY INC,2887361,-220880,44.09M,-3.37M,-7.1%,0.44%
461202103,INTU,INTUIT INC,71902,-4331,56.62M,-3.41M,-5.7%,0.56%
G6683N103,NU,NU HOLDINGS LTD/CAYMAN ISL-A,3986096,-253630,54.69M,-3.48M,-6%,0.55%
037833100,AAPL,APPLE INC,71669,-17796,14.7M,-3.65M,-19.9%,0.15%
70450Y103,PYPL,PAYPAL HOLDINGS INC,620389,-52147,46.09M,-3.87M,-7.8%,0.46%
90184D100,TWST,TWIST BIOSCIENCE CORP,2299437,-116361,84.5M,-4.28M,-4.8%,0.84%
74624M102,PSTG,PURE STORAGE INC - CLASS A,1253354,-87492,72.14M,-5.04M,-6.5%,0.72%
05605H100,BWXT,BWX TECHNOLOGIES INC,279186,-38282,40.21M,-5.51M,-12.1%,0.4%
91332U101,U,UNITY SOFTWARE INC,2627931,-230459,63.62M,-5.58M,-8.1%,0.63%
77543R102,ROKU,ROKU INC,4442715,-66626,390.47M,-5.86M,-1.5%,3.9%
H17182108,CRSP,CRISPR THERAPEUTICS AG,2414271,-125618,117.38M,-6.11M,-4.9%,1.2%
896239100,TRMB,TRIMBLE INC,1302247,-83145,98.93M,-6.32M,-6%,0.99%
03945R102,ACHR,ARCHER AVIATION INC-A,6967391,-640404,75.53M,-6.94M,-8.4%,0.75%
880770102,TER,TERADYNE INC,1690045,-93773,151.94M,-8.43M,-5.3%,1.5%
22788C105,CRWD,CROWDSTRIKE HOLDINGS INC - A,216184,-19505,110.04M,-9.93M,-8.3%,1.1%
72352L106,PINS,PINTEREST INC- CLASS A,4114440,-347376,147.5M,-12.45M,-7.8%,1.5%
05368X102,AVDX,AVIDXCHANGE HOLDINGS INC,0,-1554952,0,-13.19M,CLOSE,0%
75734B100,RDDT,REDDIT INC-CL A,206282,-93911,31.02M,-14.12M,-31.3%,0.31%
G3934V109,GENI,GENIUS SPORTS LTD,4313210,-1390782,44.81M,-14.45M,-24.4%,0.45%
781154109,RBRK,RUBRIK INC-A,353688,-162194,31.66M,-14.52M,-31.4%,0.32%
888787108,TOST,TOAST INC-CLASS A,4661844,-340908,206.33M,-15.09M,-6.8%,2.1%
26142V105,DKNG,DRAFTKINGS INC-CL A,4221756,-352347,180.99M,-15.11M,-7.7%,1.8%
88160R101,TSLA,TESLA INC,1500011,-48355,476.37M,-15.36M,-3.1%,4.8%
92337F107,VCYT,VERACYTE INC,1647177,-614702,44.47M,-16.6M,-27.2%,0.44%
773122106,RKLB,ROCKET LAB USA INC,0,-938522,0,-16.78M,CLOSE,0%
594918104,MSFT,MICROSOFT CORP,1634,-37251,812.31K,-18.52M,-95.8%,<.01%
18915M107,NET,CLOUDFLARE INC - CLASS A,624479,-105333,122.22M,-20.62M,-14.4%,1.2%
00650F109,ADPT,ADAPTIVE BIOTECHNOLOGIES,4299684,-1786006,50.05M,-20.79M,-29.3%,0.5%
88023B103,TEM,TEMPUS AI INC,3869941,-390612,245.66M,-24.8M,-9.2%,2.5%
58733R102,MELI,MERCADOLIBRE INC,101757,-10146,265.53M,-26.48M,-9.1%,2.6%
L8681T102,SPOT,SPOTIFY TECHNOLOGY SA,228193,-36651,174.96M,-28.1M,-13.8%,1.7%
852234103,XYZ,BLOCK INC,3770562,-590144,256.21M,-40.1M,-13.5%,2.6%
30303M102,META,META PLATFORMS INC-CLASS A,289920,-94091,213.96M,-69.44M,-24.5%,2.1%
90364P105,PATH,UIPATH INC - CLASS A,1112640,-6604816,14.23M,-84.48M,-85.6%,0.14%
19260Q107,COIN,COINBASE GLOBAL INC -CLASS A,2096663,-256836,734.67M,-90M,-10.9%,7.3%
771049103,RBLX,ROBLOX CORP -CLASS A,4881861,-1259166,513.03M,-132.33M,-20.5%,5.1%
69608A108,PLTR,PALANTIR TECHNOLOGIES INC-A,3520539,-1452605,479.92M,-198.02M,-29.2%,4.8%
770700102,HOOD,ROBINHOOD MARKETS INC - A,7760266,-3567049,726.59M,-333.98M,-31.5%,7.2%
Total,,,,,10.03B,-698.13M,-9%,100%
