CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
04911A107,AUB,ATLANTIC UN BANKSHARES CORP,9626,176,301.1K,5.51K,+1.9%,0.01%
26614N102,DD,DUPONT DE NEMOURS INC,10705,78,734.26K,5.35K,+0.7%,0.03%
50012A108,KGS,KODIAK GAS SVCS INC,9001,154,308.46K,5.28K,+1.7%,0.01%
G8267P108,SW,SMURFIT WESTROCK PLC,12689,121,547.53K,5.22K,+1%,0.02%
260557103,DOW,DOW INC,18082,188,478.81K,4.98K,+1.1%,0.02%
88023U101,SGI,SOMNIGROUP INTERNATIONAL INC,4528,73,308.13K,4.97K,+1.6%,0.01%
460146103,IP,INTERNATIONAL PAPER CO,13507,102,632.53K,4.78K,+0.8%,0.02%
088929104,BGC,BGC GROUP INC,17227,463,176.23K,4.74K,+2.8%,<.01%
03879J100,ABUS,ARBUTUS BIOPHARMA CORP,20320,1205,62.79K,3.72K,+6.3%,<.01%
71844V201,PECO,PHILLIPS EDISON & CO INC,5739,99,201.04K,3.47K,+1.8%,<.01%
459506101,IFF,INTERNATIONAL FLAVORS&FRAGRA,6544,45,481.31K,3.31K,+0.7%,0.02%
400506101,PAC,GRUPO AEROPUERTO DEL PACIFIC,1818,14,417.45K,3.21K,+0.8%,0.02%
941848103,WAT,WATERS CORP,839,9,292.85K,3.14K,+1.1%,0.01%
406216101,HAL,HALLIBURTON CO,51045,146,1.04M,2.98K,+0.3%,0.04%
16115Q308,GTLS,CHART INDS INC,1844,18,303.62K,2.96K,+1%,0.01%
86959K105,SUZ,SUZANO S A,30970,297,291.43K,2.79K,+1%,0.01%
78573M104,SABR,SABRE CORP,18861,774,59.6K,2.45K,+4.3%,<.01%
609839105,MPWR,MONOLITHIC PWR SYS INC,3125,3,2.29M,2.19K,+0.1%,0.08%
87612G101,TRGP,TARGA RES CORP,9303,12,1.62M,2.09K,+0.1%,0.06%
668771108,GEN,GEN DIGITAL INC,9259,65,272.21K,1.91K,+0.7%,<.01%
277432100,EMN,EASTMAN CHEM CO,2954,25,220.55K,1.87K,+0.9%,<.01%
44486Q103,HUMA,HUMACYTE INC,39153,854,81.83K,1.78K,+2.2%,<.01%
76029N106,REPL,REPLIMUNE GROUP INC,17022,188,158.13K,1.75K,+1.1%,<.01%
61945C103,MOS,MOSAIC CO NEW,8116,42,296.07K,1.53K,+0.5%,0.01%
828730200,SFNC,SIMMONS 1ST NATL CORP,10358,75,196.39K,1.42K,+0.7%,<.01%
72919P202,PLUG,PLUG POWER INC,16227,888,24.18K,1.32K,+5.8%,<.01%
592688105,MTD,METTLER TOLEDO INTERNATIONAL,293,1,344.19K,1.17K,+0.3%,0.01%
203607106,CBU,COMMUNITY FINANCIAL SYSTEM I,4204,20,239.08K,1.14K,+0.5%,<.01%
410345102,HBI,HANESBRANDS INC,16333,202,74.81K,925.16,+1.3%,<.01%
925550105,VIAV,VIAVI SOLUTIONS INC,10136,91,102.07K,916.37,+0.9%,<.01%
573284106,MLM,MARTIN MARIETTA MATLS INC,1574,1,864.06K,548.96,+0.1%,0.03%
00287Y109,ABBV,ABBVIE INC,34702,1,6.44M,185.62,+0%,0.23%
91325V108,UNIT,UNITI GROUP INC,11110,22,47.99K,95.04,+0.2%,<.01%
03784Y200,APLE,APPLE HOSPITALITY REIT INC,10226,-27,119.34K,-315.09,-0.3%,<.01%
674599105,OXY,OCCIDENTAL PETE CORP,28363,-10,1.19M,-420.1,-0%,0.04%
876030107,TPR,TAPESTRY INC,3898,-5,342.28K,-439.05,-0.1%,0.01%
H2906T109,GRMN,GARMIN LTD,2894,-3,604.04K,-626.16,-0.1%,0.02%
336433107,FSLR,FIRST SOLAR INC,1809,-4,299.46K,-662.16,-0.2%,0.01%
219948106,CPAY,CORPAY INC,991,-2,328.83K,-663.64,-0.2%,0.01%
N53745100,LYB,LYONDELLBASELL INDUSTRIES N,6578,-13,380.6K,-752.18,-0.2%,0.01%
550241103,LUMN,LUMEN TECHNOLOGIES INC,46071,-198,201.79K,-867.24,-0.4%,<.01%
749660106,RES,RPC INC,18864,-208,89.23K,-983.84,-1.1%,<.01%
143658300,CCL,CARNIVAL CORP,19720,-35,554.53K,-984.2,-0.2%,0.02%
32051X108,FHB,FIRST HAWAIIAN INC,8207,-44,204.85K,-1.1K,-0.5%,<.01%
243537107,DECK,DECKERS OUTDOOR CORP,2849,-11,293.65K,-1.13K,-0.4%,0.01%
649445400,FLG,FLAGSTAR FINANCIAL INC,21352,-143,226.33K,-1.52K,-0.7%,<.01%
477143101,JBLU,JETBLUE AWYS CORP,13208,-364,55.87K,-1.54K,-2.7%,<.01%
88162F105,TTI,TETRA TECHNOLOGIES INC DEL,14370,-493,48.28K,-1.66K,-3.3%,<.01%
492327101,KROS,KEROS THERAPEUTICS INC,11421,-148,152.47K,-1.98K,-1.3%,<.01%
651229106,NWL,NEWELL BRANDS INC,10277,-373,55.5K,-2.01K,-3.5%,<.01%
29082A107,EMBJ,EMBRAER S.A.,7755,-39,441.34K,-2.22K,-0.5%,0.02%
969904101,WSM,WILLIAMS SONOMA INC,2306,-14,376.73K,-2.29K,-0.6%,0.01%
40412C101,HCA,HCA HEALTHCARE INC,2507,-6,960.43K,-2.3K,-0.2%,0.03%
58463J304,MPW,MEDICAL PPTYS TRUST INC,14784,-587,63.72K,-2.53K,-3.8%,<.01%
74386T105,PFS,PROVIDENT FINL SVCS INC,10422,-175,182.7K,-3.07K,-1.7%,<.01%
602496101,MDXG,MIMEDX GROUP INC,14654,-525,89.54K,-3.21K,-3.5%,<.01%
27627N105,EBC,EASTERN BANKSHARES INC,10964,-224,167.42K,-3.42K,-2%,<.01%
868459108,SUPN,SUPERNUS PHARMACEUTICALS INC,8680,-110,273.59K,-3.47K,-1.3%,<.01%
152006102,CGAU,CENTERRA GOLD INC,17610,-507,126.97K,-3.66K,-2.8%,<.01%
360271100,FULT,FULTON FINL CORP PA,14828,-203,267.5K,-3.66K,-1.4%,<.01%
297178105,ESS,ESSEX PPTY TR INC,847,-13,240.04K,-3.68K,-1.5%,<.01%
053332102,AZO,AUTOZONE INC,316,-1,1.17M,-3.71K,-0.3%,0.04%
53220K504,LGND,LIGAND PHARMACEUTICALS INC,2435,-37,276.81K,-4.21K,-1.5%,<.01%
529043101,LXP,LXP INDUSTRIAL TRUST,12454,-513,102.87K,-4.24K,-4%,<.01%
349942102,FVI,FORTUNA MNG CORP,25759,-659,168.46K,-4.31K,-2.5%,<.01%
74112D101,PBH,PRESTIGE CONSMR HEALTHCARE I,6563,-60,524.06K,-4.79K,-0.9%,0.02%
398905109,GPI,GROUP 1 AUTOMOTIVE INC,581,-11,253.73K,-4.8K,-1.9%,<.01%
32076V103,AG,FIRST MAJESTIC SILVER CORP,35762,-593,295.75K,-4.9K,-1.6%,0.01%
517834107,LVS,LAS VEGAS SANDS CORP,6366,-115,276.99K,-5K,-1.8%,<.01%
64110D104,NTAP,NETAPP INC,3381,-48,360.25K,-5.11K,-1.4%,0.01%
062540109,BOH,BANK HAWAII CORP,3506,-81,236.76K,-5.47K,-2.3%,<.01%
69370C100,PTC,PTC INC,2001,-32,344.85K,-5.51K,-1.6%,0.01%
59522J103,MAA,MID-AMER APT CMNTYS INC,1519,-38,224.83K,-5.62K,-2.4%,<.01%
745867101,PHM,PULTE GROUP INC,3763,-55,396.85K,-5.8K,-1.4%,0.01%
53635D202,LQDA,LIQUIDIA CORPORATION,12212,-487,152.16K,-6.07K,-3.8%,<.01%
035710839,NLY,ANNALY CAPITAL MANAGEMENT IN,12181,-336,229.25K,-6.32K,-2.7%,<.01%
989207105,ZBRA,ZEBRA TECHNOLOGIES CORPORATI,847,-21,261.18K,-6.48K,-2.4%,<.01%
053484101,AVB,AVALONBAY CMNTYS INC,1862,-32,378.92K,-6.51K,-1.7%,0.01%
450913108,IAG,IAMGOLD CORP,48257,-989,354.69K,-7.27K,-2%,0.01%
784730103,SSRM,SSR MINING IN,20633,-577,262.86K,-7.35K,-2.7%,<.01%
80013R206,SAND,SANDSTORM GOLD LTD,20420,-784,191.95K,-7.37K,-3.7%,<.01%
21900C308,CRMD,CORMEDIX INC,11879,-601,146.35K,-7.4K,-4.8%,<.01%
05969A105,TBBK,BANCORP INC DEL,4424,-131,252.03K,-7.46K,-2.9%,<.01%
37637Q105,GBCI,GLACIER BANCORP INC NEW,7228,-180,311.38K,-7.75K,-2.4%,0.01%
059520106,BCH,BANCO DE CHILE,9900,-255,301.16K,-7.76K,-2.5%,0.01%
30212P303,EXPE,EXPEDIA GROUP INC,2279,-46,384.42K,-7.76K,-2%,0.01%
28036F105,EWTX,EDGEWISE THERAPEUTICS INC,15085,-602,197.76K,-7.89K,-3.8%,<.01%
053611109,AVY,AVERY DENNISON CORP,1999,-45,350.76K,-7.9K,-2.2%,0.01%
30225T102,EXR,EXTRA SPACE STORAGE INC,2776,-54,409.29K,-7.96K,-1.9%,0.01%
