CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
G6683N103,NU,NU HLDGS LTD,4486944,2717830,61.56M,37.29M,+153.6%,61.6%
G4R20B107,INTR,INTER & CO INC,2002831,2002831,14.88M,14.88M,NEW,14.9%
G02532110,AMBWQ,AMBIPAR EMERGENCY RESPONSE,1075000,0,182.64K,0,NO CHANGE,0.18%
G85158106,STNE,STONECO LTD,1454962,-1241859,23.34M,-19.92M,-46%,23.3%
Total,,,,,99.96M,32.25M,+69.1%,100%
