CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
G1151C101,ACN,ACCENTURE PLC IRELAND,1236,-9,304.8K,-2.22K,-0.7%,0.21%
443573100,HUBS,HUBSPOT INC,825,-5,385.94K,-2.34K,-0.6%,0.26%
77543R102,ROKU,ROKU INC,3129,-34,313.31K,-3.4K,-1.1%,0.21%
91680M107,UPST,UPSTART HLDGS INC,6186,-95,314.25K,-4.83K,-1.5%,0.21%
09857L108,BKNG,BOOKING HOLDINGS INC,63,-1,340.15K,-5.4K,-1.6%,0.23%
921909768,VXUS,VANGUARD STAR FDS,4158,-76,305.43K,-5.58K,-1.8%,0.21%
892356106,TSCO,TRACTOR SUPPLY CO,4866,-176,276.73K,-10.01K,-3.5%,0.19%
49456B101,KMI,KINDER MORGAN INC DEL,12190,-376,345.1K,-10.64K,-3%,0.23%
169656105,CMG,CHIPOTLE MEXICAN GRILL INC,32709,-274,1.28M,-10.74K,-0.8%,0.86%
679295105,OKTA,OKTA INC,6721,-120,616.32K,-11K,-1.8%,0.42%
45841N107,IBKR,INTERACTIVE BROKERS GROUP IN,8005,-171,550.82K,-11.77K,-2.1%,0.37%
81141R100,SE,SEA LTD,2010,-68,359.25K,-12.15K,-3.3%,0.24%
461202103,INTU,INTUIT,448,-18,305.94K,-12.29K,-3.9%,0.21%
98954M101,ZG,ZILLOW GROUP INC,4189,-184,311.83K,-13.7K,-4.2%,0.21%
833445109,SNOW,SNOWFLAKE INC,4305,-74,970.99K,-16.69K,-1.7%,0.65%
254687106,DIS,DISNEY WALT CO,9979,-153,1.14M,-17.52K,-1.5%,0.77%
18915M107,NET,CLOUDFLARE INC,3356,-88,720.16K,-18.88K,-2.6%,0.49%
049468101,TEAM,ATLASSIAN CORPORATION,1744,-137,278.52K,-21.88K,-7.3%,0.19%
98980L101,ZM,ZOOM COMMUNICATIONS INC,7057,-275,582.2K,-22.69K,-3.8%,0.39%
855244109,SBUX,STARBUCKS CORP,7898,-290,668.21K,-24.54K,-3.5%,0.45%
