CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
278768106,SATS,ECHOSTAR CORP,2598216,2598216,198.4M,198.4M,NEW,26.6%
37890B100,GBTG,GLOBAL BUSINESS TRAVEL GROUP,7138582,7138582,57.68M,57.68M,NEW,7.7%
278768AB2,SATS,ECHOSTAR CORP,132200000,21874462,324.27M,53.66M,+19.8%,43.5%
20337X109,VISN,COMMSCOPE HLDG CO INC,10380000,380000,160.68M,5.88M,+3.8%,21.6%
L02235106,AMBP,ARDAGH METAL PACKAGING S A,975000,975000,3.89M,3.89M,NEW,0.52%
87266JAB0,TPIC,TPI COMPOSITES INC,0,-36475000,0,-2.48M,CLOSE,0%
Total,,,,,744.92M,317.03M,+147.6%,100%
