CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
47233W109,JEF,JEFFERIES FINL GROUP INC,31784,31784,2.08M,2.08M,NEW,0.03%
03945R102,ACHR,ARCHER AVIATION INC,327005,214538,3.13M,2.06M,+190.8%,0.05%
81730H109,S,SENTINELONE INC,116762,115671,2.06M,2.04M,+10602.3%,0.03%
81369Y852,XLC,SELECT SECTOR SPDR TR,17189,17189,2.03M,2.03M,NEW,0.03%
7591EP100,RF,REGIONS FINANCIAL CORP NEW,76927,76927,2.03M,2.03M,NEW,0.03%
910047109,UAL,UNITED AIRLS HLDGS INC,179795,20702,17.35M,2M,+13%,0.28%
001055102,AFL,AFLAC INC,71003,17789,7.93M,1.99M,+33.4%,0.13%
76954A103,RIVN,RIVIAN AUTOMOTIVE INC,133896,133896,1.97M,1.97M,NEW,0.03%
H1467J104,CB,CHUBB LIMITED,8669,6870,2.45M,1.94M,+381.9%,0.04%
754730109,RJF,RAYMOND JAMES FINL INC,11151,11151,1.92M,1.92M,NEW,0.03%
147528103,CASY,CASEYS GEN STORES INC,3395,3395,1.92M,1.92M,NEW,0.03%
493267108,KEY,KEYCORP,102668,102668,1.92M,1.92M,NEW,0.03%
052769106,ADSK,AUTODESK INC,22384,6013,7.11M,1.91M,+36.7%,0.11%
881624209,TEVA,TEVA PHARMACEUTICAL INDS LTD,1090393,94129,22.03M,1.9M,+9.4%,0.35%
14040H105,COF,CAPITAL ONE FINL CORP,8933,8933,1.9M,1.9M,NEW,0.03%
882681109,TXRH,TEXAS ROADHOUSE INC,18312,11385,3.04M,1.89M,+164.4%,0.05%
M5216V106,GLBE,GLOBAL E ONLINE LTD,67746,52751,2.42M,1.89M,+351.8%,0.04%
143130102,KMX,CARMAX INC,41968,41968,1.88M,1.88M,NEW,0.03%
464288760,ITA,ISHARES TR,11403,8990,2.39M,1.88M,+372.6%,0.04%
26853E102,EH,EHANG HLDGS LTD,133850,99489,2.49M,1.85M,+289.5%,0.04%
751212101,RL,RALPH LAUREN CORP,5800,5800,1.82M,1.82M,NEW,0.03%
26969P108,EXP,EAGLE MATLS INC,8776,7790,2.05M,1.82M,+790.1%,0.03%
19247G107,COHR,COHERENT CORP,18751,16834,2.02M,1.81M,+878.1%,0.03%
744573106,PEG,PUBLIC SVC ENTERPRISE GRP IN,21713,21713,1.81M,1.81M,NEW,0.03%
06738E204,BCS,BARCLAYS PLC,127937,87574,2.64M,1.81M,+217%,0.04%
65336K103,NXST,NEXSTAR MEDIA GROUP INC,9153,9153,1.81M,1.81M,NEW,0.03%
44812J104,HUT,HUT 8 CORP,129276,51707,4.5M,1.8M,+66.7%,0.07%
002896207,ANF,ABERCROMBIE & FITCH CO,27726,21039,2.37M,1.8M,+314.6%,0.04%
87043Q108,SG,SWEETGREEN INC,268032,222797,2.14M,1.78M,+492.5%,0.03%
00287Y109,ABBV,ABBVIE INC,38036,7637,8.81M,1.77M,+25.1%,0.14%
460146103,IP,INTERNATIONAL PAPER CO,72227,37860,3.35M,1.76M,+110.2%,0.05%
42226A107,HQY,HEALTHEQUITY INC,18233,18233,1.73M,1.73M,NEW,0.03%
74762E102,PWR,QUANTA SVCS INC,4167,4167,1.73M,1.73M,NEW,0.03%
832696405,SJM,SMUCKER J M CO,15781,15781,1.71M,1.71M,NEW,0.03%
92538J106,VERX,VERTEX INC,67788,67788,1.68M,1.68M,NEW,0.03%
237266101,DAR,DARLING INGREDIENTS INC,109964,54298,3.39M,1.68M,+97.5%,0.05%
922042874,VGK,VANGUARD INTL EQUITY INDEX F,20901,20901,1.67M,1.67M,NEW,0.03%
820014405,SBET,SHARPLINK GAMING INC,96663,96663,1.64M,1.64M,NEW,0.03%
974637100,WGO,WINNEBAGO INDS INC,47497,47497,1.59M,1.59M,NEW,0.03%
835699307,SONY,SONY GROUP CORP,54670,54670,1.57M,1.57M,NEW,0.03%
31488V107,FERG,FERGUSON ENTERPRISES INC,6991,6876,1.57M,1.54M,+5979.1%,0.03%
690742101,OC,OWENS CORNING NEW,10803,10803,1.53M,1.53M,NEW,0.02%
150870103,CE,CELANESE CORP DEL,45752,36255,1.93M,1.53M,+381.8%,0.03%
87918A105,TDOC,TELADOC HEALTH INC,323120,192516,2.5M,1.49M,+147.4%,0.04%
03990B101,ARES,ARES MANAGEMENT CORPORATION,10246,9244,1.64M,1.48M,+922.6%,0.03%
00846U101,A,AGILENT TECHNOLOGIES INC,21662,11417,2.78M,1.47M,+111.4%,0.04%
52567D107,LMND,LEMONADE INC,106081,27374,5.68M,1.47M,+34.8%,0.09%
559222401,MGA,MAGNA INTL INC,30894,30894,1.46M,1.46M,NEW,0.02%
91823B109,UWMC,UWM HOLDINGS CORPORATION,648520,236596,3.95M,1.44M,+57.4%,0.06%
829933100,SIRI,SIRIUSXM HOLDINGS INC,61343,61343,1.43M,1.43M,NEW,0.02%
058586108,BLDP,BALLARD PWR SYS INC NEW,521142,520752,1.42M,1.42M,+133526.2%,0.02%
571748102,MRSH,MARSH & MCLENNAN COS INC,10677,6890,2.15M,1.39M,+181.9%,0.03%
90364P105,PATH,UIPATH INC,227682,103119,3.05M,1.38M,+82.8%,0.05%
V7780T103,RCL,ROYAL CARIBBEAN GROUP,4260,4260,1.38M,1.38M,NEW,0.02%
26603R106,DUOL,DUOLINGO INC,4250,4250,1.37M,1.37M,NEW,0.02%
G1890L107,CPRI,CAPRI HOLDINGS LIMITED,102251,68228,2.04M,1.36M,+200.5%,0.03%
452327109,ILMN,ILLUMINA INC,14290,14290,1.36M,1.36M,NEW,0.02%
40171V100,GWRE,GUIDEWIRE SOFTWARE INC,5878,5878,1.35M,1.35M,NEW,0.02%
75960P104,RELY,REMITLY GLOBAL INC,130321,82711,2.12M,1.35M,+173.7%,0.03%
61945C103,MOS,MOSAIC CO NEW,144510,38520,5.01M,1.34M,+36.3%,0.08%
447011107,HUN,HUNTSMAN CORP,147215,147215,1.32M,1.32M,NEW,0.02%
705573103,PEGA,PEGASYSTEMS INC,35961,22987,2.07M,1.32M,+177.2%,0.03%
N3167Y103,RACE,FERRARI N V,2718,2718,1.32M,1.32M,NEW,0.02%
801056102,SANM,SANMINA CORPORATION,11581,10996,1.33M,1.27M,+1879.7%,0.02%
67079K100,SMR,NUSCALE PWR CORP,35152,35152,1.27M,1.27M,NEW,0.02%
686688102,ORA,ORMAT TECHNOLOGIES INC,53107,12888,5.11M,1.24M,+32%,0.08%
36262G101,GXO,GXO LOGISTICS INCORPORATED,53565,23305,2.83M,1.23M,+77%,0.05%
78467Y107,MDY,SPDR S&P MIDCAP 400 ETF TR,2039,2039,1.22M,1.22M,NEW,0.02%
382550101,GT,GOODYEAR TIRE & RUBR CO,229625,162294,1.72M,1.21M,+241%,0.03%
260003108,DOV,DOVER CORP,10054,7273,1.68M,1.21M,+261.5%,0.03%
615369105,MCO,MOODYS CORP,2580,2529,1.23M,1.21M,+4958.8%,0.02%
87305R109,TTMI,TTM TECHNOLOGIES INC,21005,20708,1.21M,1.19M,+6972.4%,0.02%
55087P104,LYFT,LYFT INC,54160,54160,1.19M,1.19M,NEW,0.02%
011659109,ALK,ALASKA AIR GROUP INC,42730,23771,2.13M,1.18M,+125.4%,0.03%
902494103,TSN,TYSON FOODS INC,21780,21780,1.18M,1.18M,NEW,0.02%
83088M102,SWKS,SKYWORKS SOLUTIONS INC,46218,15295,3.56M,1.18M,+49.5%,0.06%
66987V109,NVS,NOVARTIS AG,9181,9181,1.18M,1.18M,NEW,0.02%
231021106,CMI,CUMMINS INC,2769,2769,1.17M,1.17M,NEW,0.02%
058498106,BALL,BALL CORP,24455,23154,1.23M,1.17M,+1779.7%,0.02%
G0176J109,ALLE,ALLEGION PLC,6712,6529,1.19M,1.16M,+3567.8%,0.02%
09075V102,BNTX,BIONTECH SE,11721,11721,1.16M,1.16M,NEW,0.02%
651639106,NEM,NEWMONT CORP,438285,13646,36.95M,1.15M,+3.2%,0.59%
42704L104,HRI,HERC HLDGS INC,9775,9751,1.14M,1.14M,+40629.2%,0.02%
30034W106,EVRG,EVERGY INC,16730,14857,1.27M,1.13M,+793.2%,0.02%
03769M106,APO,APOLLO GLOBAL MGMT INC,8276,8276,1.1M,1.1M,NEW,0.02%
37954Y848,SIL,GLOBAL X FDS,22310,15200,1.6M,1.09M,+213.8%,0.03%
78137L105,RUM,RUMBLE INC,148374,148374,1.07M,1.07M,NEW,0.02%
45687V106,IR,INGERSOLL RAND INC,35364,12992,2.92M,1.07M,+58.1%,0.05%
609839105,MPWR,MONOLITHIC PWR SYS INC,1271,1162,1.17M,1.07M,+1066.1%,0.02%
91733P107,USAR,USA RARE EARTH INC,61669,61669,1.06M,1.06M,NEW,0.02%
75644T100,RCAT,RED CAT HLDGS INC,101356,101356,1.05M,1.05M,NEW,0.02%
767204100,RIO,RIO TINTO PLC,15886,15886,1.05M,1.05M,NEW,0.02%
46137V357,RSP,INVESCO EXCHANGE TRADED FD T,10070,5487,1.91M,1.04M,+119.7%,0.03%
464287432,TLT,ISHARES TR,11514,11514,1.03M,1.03M,NEW,0.02%
81369Y803,XLK,SELECT SECTOR SPDR TR,6815,3639,1.92M,1.03M,+114.6%,0.03%
464287739,IYR,ISHARES TR,10471,10471,1.02M,1.02M,NEW,0.02%
565788106,MARA,MARA HOLDINGS INC,55312,55312,1.01M,1.01M,NEW,0.02%
679580100,ODFL,OLD DOMINION FREIGHT LINE IN,14620,7168,2.06M,1.01M,+96.2%,0.03%
03674X106,AR,ANTERO RESOURCES CORP,29964,29964,1.01M,1.01M,NEW,0.02%
G4705A100,ICLR,ICON PLC,24587,5714,4.3M,999.95K,+30.3%,0.07%
21871N101,CXW,CORECIVIC INC,48941,48941,995.95K,995.95K,NEW,0.02%
08975B109,BBAI,BIGBEAR AI HLDGS INC,213777,151204,1.39M,985.85K,+241.6%,0.02%
683344105,ONTO,ONTO INNOVATION INC,7613,7613,983.75K,983.75K,NEW,0.02%
631103108,NDAQ,NASDAQ INC,31572,11033,2.79M,975.87K,+53.7%,0.04%
761152107,RMD,RESMED INC,5126,3524,1.4M,964.62K,+220%,0.02%
343412102,FLR,FLUOR CORP NEW,22849,22849,961.26K,961.26K,NEW,0.02%
68390D106,OR,OR ROYALTIES INC.,23857,23857,956.19K,956.19K,NEW,0.02%
023608102,AEE,AMEREN CORP,9752,9153,1.02M,955.39K,+1528%,0.02%
655844108,NSC,NORFOLK SOUTHN CORP,33781,3152,10.15M,946.89K,+10.3%,0.16%
G96629103,WTW,WILLIS TOWERS WATSON PLC LTD,2732,2732,943.77K,943.77K,NEW,0.02%
77664L207,ROOT,ROOT INC,10393,10393,930.28K,930.28K,NEW,0.01%
861012102,STM,STMICROELECTRONICS N V,32811,32811,927.24K,927.24K,NEW,0.01%
698813102,PZZA,PAPA JOHNS INTL INC,25601,19222,1.23M,925.54K,+301.3%,0.02%
36866J105,GEMI,GEMINI SPACE STA INC,38520,38520,922.94K,922.94K,NEW,0.01%
88579Y101,MMM,3M CO,5862,5862,909.66K,909.67K,NEW,0.01%
962879102,WPM,WHEATON PRECIOUS METALS CORP,8119,8119,908.03K,908.03K,NEW,0.01%
015271109,ARE,ALEXANDRIA REAL ESTATE EQ IN,43690,10790,3.64M,899.24K,+32.8%,0.06%
G4124C109,GRAB,GRAB HOLDINGS LIMITED,1289380,149149,7.76M,897.88K,+13.1%,0.12%
04621X108,AIZ,ASSURANT INC,6564,4126,1.42M,893.69K,+169.2%,0.02%
60855R100,MOH,MOLINA HEALTHCARE INC,4655,4655,890.78K,890.78K,NEW,0.01%
749685103,RPM,RPM INTL INC,7532,7532,887.87K,887.87K,NEW,0.01%
064149107,BNS,BANK NOVA SCOTIA HALIFAX,13547,13547,875.81K,875.81K,NEW,0.01%
02209S103,MO,ALTRIA GROUP INC,18285,13240,1.21M,874.63K,+262.4%,0.02%
01749D105,ALGM,ALLEGRO MICROSYSTEMS INC,29925,29925,873.81K,873.81K,NEW,0.01%
87162W100,SNX,TD SYNNEX CORPORATION,6270,5161,1.03M,845.11K,+465.4%,0.02%
03073E105,COR,CENCORA INC,2696,2696,842.58K,842.58K,NEW,0.01%
82706C108,SIMO,SILICON MOTION TECHNOLOGY CO,20553,8847,1.95M,838.78K,+75.6%,0.03%
172573107,CRCL,CIRCLE INTERNET GROUP INC,6296,6296,834.72K,834.72K,NEW,0.01%
783549108,R,RYDER SYS INC,13099,4407,2.47M,831.34K,+50.7%,0.04%
024061103,DCH,AMERICAN AXLE & MFG HLDGS IN,246032,134459,1.48M,808.1K,+120.5%,0.02%
G65431127,NE,NOBLE CORP PLC,35886,28529,1.01M,806.8K,+387.8%,0.02%
008073108,AVAV,AEROVIRONMENT INC,4338,2562,1.37M,806.75K,+144.3%,0.02%
