CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
00218A105,ASPI,ASP ISOTOPES INC,23822,192,229.17K,1.85K,+0.8%,0.02%
46431W648,IETC,ISHARES U S ETF TR,5,5,510,510,NEW,<.01%
98138J404,WKHS,WORKHORSE GROUP INC,388,388,427,427,NEW,<.01%
153436100,CEE,CENTRAL & EASTERN EUROPE FD,14395,0,221.11K,0,NO CHANGE,0.02%
51655R101,LNZA,LANZATECH GLOBAL INC,0,-5,0,-1,CLOSE,0%
138035704,CGC,CANOPY GROWTH CORP,2129,-2,3.11K,-2.92,-0.1%,<.01%
62526P802,BINI,MULLEN AUTOMOTIVE INC,0,-163,0,-70,CLOSE,0%
92864M798,ETHU,VOLATILITY SHS TR,0,-2,0,-113,CLOSE,0%
66987V109,NVS,NOVARTIS AG,363,-1,46.55K,-128.24,-0.3%,<.01%
550424303,LAZR,LUMINAR TECHNOLOGIES INC,0,-231,0,-663,CLOSE,0%
92204A702,VGT,VANGUARD WORLD FD,0,-1,0,-663,CLOSE,0%
81761L102,SVC,SERVICE PPTYS TR,30083,-274,81.53K,-742.54,-0.9%,<.01%
G4124C109,GRAB,GRAB HOLDINGS LIMITED,0,-197,0,-991,CLOSE,0%
307359885,FFAI,FARADAY FUTURE INTLGT ELEC I,0,-806,0,-1.35K,CLOSE,0%
693691107,PSQH,PSQ HOLDINGS INC,5216,-1025,9.96K,-1.96K,-16.4%,<.01%
25461A718,AIBU,DIREXION SHS ETF TR,0,-53,0,-2.22K,CLOSE,0%
87583X109,TNGX,TANGO THERAPEUTICS INC,10845,-386,91.1K,-3.24K,-3.4%,<.01%
444097109,HPP,HUDSON PAC PPTYS INC,34,-1284,94,-3.55K,-97.4%,<.01%
08862E109,BYND,BEYOND MEAT INC,1199,-2102,2.27K,-3.97K,-63.7%,<.01%
08915P101,BGFV,BIG 5 SPORTING GOODS CORP,0,-3297,0,-4.68K,CLOSE,0%
46137V142,PHO,INVESCO EXCHANGE TRADED FD T,0,-71,0,-4.96K,CLOSE,0%
37960A727,BITS,GLOBAL X FDS,0,-100,0,-7.23K,CLOSE,0%
038169207,APLD,APPLIED DIGITAL CORP,6283,-343,144.13K,-7.87K,-5.2%,0.01%
74765K105,QSI,QUANTUM SI INC,1390,-5832,1.96K,-8.22K,-80.8%,<.01%
47103U845,JAAA,JANUS DETROIT STR TR,4570,-174,232.06K,-8.84K,-3.7%,0.02%
33740F540,CRPT,FIRST TR EXCHNG TRADED FD VI,0,-400,0,-9.28K,CLOSE,0%
565788106,MARA,MARA HOLDINGS INC,0,-599,0,-9.39K,CLOSE,0%
88636J659,YMAX,TIDAL TRUST II,785,-736,10.06K,-9.43K,-48.4%,<.01%
12430A300,BZFD,BUZZFEED INC,0,-4925,0,-9.85K,CLOSE,0%
644393100,NFE,NEW FORTRESS ENERGY INC,26477,-4631,58.51K,-10.23K,-14.9%,<.01%
26922B642,JUCY,ETF SER SOLUTIONS,0,-498,0,-11.07K,CLOSE,0%
46138E586,KBWP,INVESCO EXCH TRADED FD TR II,0,-100,0,-12.28K,CLOSE,0%
316092808,FTEC,FIDELITY COVINGTON TRUST,0,-93,0,-18.34K,CLOSE,0%
612160101,AIRJ,AIRJOULE TECHNOLOGIES CORP,13565,-4000,63.62K,-18.76K,-22.8%,<.01%
759937204,IPO,RENAISSANCE CAP GREENWICH FD,4100,-400,203.2K,-19.82K,-8.9%,0.02%
88634T469,MRNY,TIDAL TR II,0,-8532,0,-20.05K,CLOSE,0%
76674Q107,RMNI,RIMINI STR INC DEL,11755,-5094,55.01K,-23.84K,-30.2%,<.01%
056752108,BIDU,BAIDU INC,0,-303,0,-25.98K,CLOSE,0%
30219Q106,EXFY,EXPENSIFY INC,0,-10344,0,-26.79K,CLOSE,0%
81807M304,YQ,17 ED & TECHNOLOGY GROUP INC,950,-6343,4.07K,-27.15K,-87%,<.01%
72703X106,PL,PLANET LABS PBC,0,-5002,0,-30.51K,CLOSE,0%
68248T204,OCFT,ONECONNECT FINL TECHNOLOGY C,0,-4345,0,-31.28K,CLOSE,0%
26923N462,MSTU,ETF OPPORTUNITIES TRUST,0,-3773,0,-32.64K,CLOSE,0%
06368B504,FNGS,BANK MONTREAL MEDIUM,2000,-477,139.96K,-33.38K,-19.3%,0.01%
05580M108,RILY,B. RILEY FINANCIAL INC,835,-5646,4.99K,-33.73K,-87.1%,<.01%
316092501,FNCL,FIDELITY COVINGTON TRUST,0,-459,0,-33.98K,CLOSE,0%
47089W104,ALTS,ALT5 SIGMA CORP,5123,-13892,13.78K,-37.37K,-73.1%,<.01%
38747R702,TSL,GRANITESHARES ETF TR,0,-3767,0,-47.31K,CLOSE,0%
25460E364,WEBL,DIREXION SHS ETF TR,0,-1616,0,-48.41K,CLOSE,0%
35909R108,ULCC,FRONTIER GROUP HLDGS INC,0,-16330,0,-59.28K,CLOSE,0%
464287721,IYW,ISHARES TR,0,-343,0,-59.43K,CLOSE,0%
05356F105,AVAH,AVEANNA HEALTHCARE HLDGS INC,0,-11936,0,-62.42K,CLOSE,0%
26923N298,ARMU,ETF OPPORTUNITIES TRUST,0,-1754,0,-64.92K,CLOSE,0%
88636R800,PLTY,TIDAL TRUST II,8495,-998,554.47K,-65.14K,-10.5%,0.04%
37954Y491,DAX,GLOBAL X FDS,0,-1474,0,-66.23K,CLOSE,0%
91733P107,USAR,USA RARE EARTH INC,0,-6353,0,-69.6K,CLOSE,0%
464287200,IVV,ISHARES TR,237,-105,158.62K,-70.28K,-30.7%,0.01%
88636J527,ULTY,TIDAL TRUST II,51827,-13292,283.49K,-72.71K,-20.4%,0.02%
922907746,VTEB,VANGUARD MUN BD FDS,0,-1519,0,-74.48K,CLOSE,0%
921932505,VOOG,VANGUARD ADMIRAL FDS INC,0,-189,0,-74.95K,CLOSE,0%
46137V233,XLG,INVESCO EXCHANGE TRADED FD T,0,-1513,0,-78.83K,CLOSE,0%
92891H101,SVIX,VS TRUST,0,-5268,0,-81.71K,CLOSE,0%
74347G440,BITO,PROSHARES TR,9373,-4221,184.46K,-83.07K,-31.1%,0.01%
46092D202,QBTX,INVESTMENT MANAGERS SER TR I,2000,-595,312.86K,-93.08K,-22.9%,0.03%
172573107,CRCL,CIRCLE INTERNET GROUP INC,0,-522,0,-94.63K,CLOSE,0%
88636J477,FIAT,TIDAL TR II,0,-28614,0,-98.43K,CLOSE,0%
19240Q201,COGT,COGENT BIOSCIENCES INC,0,-13727,0,-98.56K,CLOSE,0%
278768106,SATS,ECHOSTAR CORP,0,-3629,0,-100.52K,CLOSE,0%
836100107,SOUN,SOUNDHOUND AI INC,0,-9535,0,-102.31K,CLOSE,0%
Y2065G121,DHT,DHT HOLDINGS INC,0,-10065,0,-108.8K,CLOSE,0%
464288760,ITA,ISHARES TR,63,-526,13.18K,-110.07K,-89.3%,<.01%
88556E102,TDUP,THREDUP INC,0,-14822,0,-111.02K,CLOSE,0%
87918A105,TDOC,TELADOC HEALTH INC,0,-12944,0,-112.74K,CLOSE,0%
25400Q105,DJT,TRUMP MEDIA & TECHNOLOGY GRO,4827,-7178,79.26K,-117.86K,-59.8%,<.01%
882927676,NVDG,THEMES ETF TR,0,-7896,0,-119.23K,CLOSE,0%
25460E265,SPXS,DIREXION SHS ETF TR,0,-25517,0,-119.67K,CLOSE,0%
47100L301,DFDV,DEFI DEVELOPMENT CORP,3723,-7902,57K,-120.98K,-68%,<.01%
74347W353,AGQ,PROSHARES TR II,0,-2558,0,-121.48K,CLOSE,0%
867892101,SHO,SUNSTONE HOTEL INVS INC NEW,0,-14164,0,-122.94K,CLOSE,0%
74965L101,RLJ,RLJ LODGING TR,0,-17194,0,-125.17K,CLOSE,0%
921943858,VEA,VANGUARD TAX-MANAGED FDS,0,-2209,0,-125.94K,CLOSE,0%
88636J253,MSTX,TIDAL TR II,0,-3175,0,-128.14K,CLOSE,0%
218937100,CNR,CORE NATURAL RESOURCES INC,2668,-1584,222.72K,-132.23K,-37.3%,0.02%
88634T477,AMDY,TIDAL TR II,0,-16610,0,-135.04K,CLOSE,0%
25461A809,METU,DIREXION SHS ETF TR,0,-3183,0,-144.6K,CLOSE,0%
77926X700,MAGX,ROUNDHILL ETF TRUST,0,-3511,0,-150.24K,CLOSE,0%
594918104,MSFT,MICROSOFT CORP,0,-314,0,-156.19K,CLOSE,0%
025072877,AVUV,AMERICAN CENTY ETF TR,0,-1754,0,-159.79K,CLOSE,0%
92337R101,VERA,VERA THERAPEUTICS INC,0,-6817,0,-160.61K,CLOSE,0%
88634T840,AMZY,TIDAL TR II,0,-10359,0,-168.33K,CLOSE,0%
91822M502,VEON,VEON LTD,2568,-3160,139.78K,-172K,-55.2%,0.01%
77926X726,PLTW,ROUNDHILL ETF TRUST,841,-3543,40.91K,-172.37K,-80.8%,<.01%
46144X487,TARK,INVESTMENT MANAGERS SER TR I,130,-2211,10.67K,-181.52K,-94.4%,<.01%
38747R801,CONL,GRANITESHARES ETF TR,19375,-5154,724.62K,-192.76K,-21%,0.06%
88636R123,SMCX,TIDAL TR II,0,-4031,0,-199.25K,CLOSE,0%
40090E106,CIB,GRUPO CIBEST SA,0,-4380,0,-202.31K,CLOSE,0%
88636R107,BABO,TIDAL TR II,0,-13301,0,-202.71K,CLOSE,0%
09290C780,BAI,BLACKROCK ETF TRUST,0,-7194,0,-207.55K,CLOSE,0%
64110L106,NFLX,NETFLIX INC,0,-161,0,-215.6K,CLOSE,0%
301505624,BITQ,EXCHANGE TRADED CONCEPTS TRU,0,-11131,0,-219.5K,CLOSE,0%
88636R727,LFGY,TIDAL TR II,0,-5411,0,-219.69K,CLOSE,0%
97717W851,DXJ,WISDOMTREE TR,0,-2000,0,-228.54K,CLOSE,0%
46429B598,INDA,ISHARES TR,0,-4116,0,-229.18K,CLOSE,0%
78470E205,EEMX,SPDR INDEX SHS FDS,0,-6139,0,-230.05K,CLOSE,0%
37954Y186,AQWA,GLOBAL X FDS,0,-12600,0,-238.96K,CLOSE,0%
74766W108,QUBT,QUANTUM COMPUTING INC,0,-12557,0,-240.72K,CLOSE,0%
37960A594,PTEC,GLOBAL X FDS,0,-6600,0,-245.45K,CLOSE,0%
74347G192,SQQQ,PROSHARES TR,0,-12699,0,-248.52K,CLOSE,0%
46137V464,XMMO,INVESCO EXCHANGE TRADED FD T,0,-1942,0,-249.8K,CLOSE,0%
74347X831,TQQQ,PROSHARES TR,0,-3021,0,-250.74K,CLOSE,0%
