CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
N6596X109,NXPI,NXP SEMICONDUCTORS N V,300,0,57.02K,0,NO CHANGE,0.04%
26603R106,DUOL,DUOLINGO INC,180,0,55.9K,0,NO CHANGE,0.04%
682189105,ON,ON SEMICONDUCTOR CORP,800,0,32.55K,0,NO CHANGE,0.02%
60770K107,MRNA,MODERNA INC,400,0,11.34K,0,NO CHANGE,<.01%
75886F107,REGN,REGENERON PHARMACEUTICALS,1400,-1,887.92K,-634.23,-0.1%,0.56%
064058100,BK,BANK NEW YORK MELLON CORP,1800,-200,150.97K,-16.77K,-10%,0.1%
15118V207,CELH,CELSIUS HLDGS INC,4000,-500,142.48K,-17.81K,-11.1%,0.09%
857477103,STT,STATE STR CORP,7000,-200,626.71K,-17.91K,-2.8%,0.4%
21037T109,CEG,CONSTELLATION ENERGY CORP,300,-100,60.49K,-20.16K,-25%,0.04%
172967424,C,CITIGROUP INC,13400,-300,951.27K,-21.3K,-2.2%,0.6%
75513E101,RTX,RTX CORPORATION,11700,-200,1.55M,-26.49K,-1.7%,0.98%
17275R102,CSCO,CISCO SYS INC,12000,-500,740.52K,-30.86K,-4%,0.47%
83304A106,SNAP,SNAP INC,0,-5000,0,-53.85K,CLOSE,0%
00206R102,T,AT&T INC,23000,-3000,650.44K,-84.84K,-11.5%,0.41%
46120E602,ISRG,INTUITIVE SURGICAL INC,4000,-200,1.98M,-99.05K,-4.8%,1.3%
101137107,BSX,BOSTON SCIENTIFIC CORP,24000,-1000,2.42M,-100.88K,-4%,1.5%
500754106,KHC,KRAFT HEINZ CO,33800,-3822,1.03M,-116.3K,-10.2%,0.65%
125269100,CF,CF INDS HLDGS INC,12400,-1864,969.06K,-145.67K,-13.1%,0.62%
032654105,ADI,ANALOG DEVICES INC,29311,-750,5.91M,-151.25K,-2.5%,3.8%
595112103,MU,MICRON TECHNOLOGY INC,24600,-2044,2.14M,-177.6K,-7.7%,1.4%
67066G104,NVDA,NVIDIA CORPORATION,50000,-1740,5.42M,-188.58K,-3.4%,3.4%
949746101,WFC,WELLS FARGO CO NEW,4500,-3337,323.06K,-239.56K,-42.6%,0.21%
931142103,WMT,WALMART INC,0,-2741,0,-247.65K,CLOSE,0%
235851102,DHR,DANAHER CORPORATION,4000,-1282,820K,-262.81K,-24.3%,0.52%
674599105,OXY,OCCIDENTAL PETE CORP,17400,-7169,858.86K,-353.86K,-29.2%,0.55%
023135106,AMZN,AMAZON COM INC,14700,-1967,2.8M,-374.24K,-11.8%,1.8%
G1151C101,ACN,ACCENTURE PLC IRELAND,3750,-1232,1.17M,-384.43K,-24.7%,0.74%
002824100,ABT,ABBOTT LABS,0,-3882,0,-439.09K,CLOSE,0%
